epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2952.53,0.19542,0.15666,0.79013,0.82684,0.80051,0.87185,0.70971,0.77633,0.84879,1.2396,0.000406,0.000406,0.000406
62,3001.01,0.19109,0.15353,0.78893,0.86738,0.81773,0.89477,0.72883,0.76279,0.71517,1.22122,0.0003961,0.0003961,0.0003961
63,3049.17,0.18898,0.153,0.78847,0.84197,0.7814,0.87724,0.71296,0.7654,0.83949,1.22215,0.0003862,0.0003862,0.0003862
64,3097.76,0.18637,0.14935,0.78782,0.85599,0.81216,0.88275,0.72524,0.76938,0.74132,1.23864,0.0003763,0.0003763,0.0003763
65,3146.13,0.1836,0.14665,0.78715,0.85726,0.83829,0.89263,0.72991,0.77519,0.72521,1.24066,0.0003664,0.0003664,0.0003664
66,3194.79,0.1776,0.14262,0.78544,0.84793,0.8369,0.89091,0.73001,0.77138,0.7175,1.22743,0.0003565,0.0003565,0.0003565
67,3242.85,0.17088,0.13995,0.78371,0.86847,0.84848,0.90412,0.7374,0.77016,0.67297,1.23365,0.0003466,0.0003466,0.0003466
68,3291.22,0.16992,0.139,0.78358,0.85877,0.84359,0.90459,0.73919,0.76588,0.69135,1.23221,0.0003367,0.0003367,0.0003367
69,3339.4,0.16953,0.13856,0.78327,0.85388,0.83575,0.89404,0.73535,0.77018,0.74387,1.23611,0.0003268,0.0003268,0.0003268
70,3387.22,0.16267,0.13383,0.78228,0.846,0.82789,0.89225,0.73097,0.76964,0.79917,1.24207,0.0003169,0.0003169,0.0003169
71,3435.51,0.15933,0.1312,0.78134,0.84315,0.84225,0.90235,0.73747,0.76575,0.72338,1.23077,0.000307,0.000307,0.000307
72,3484.32,0.15678,0.12941,0.78125,0.84885,0.84043,0.89543,0.73233,0.76229,0.73493,1.22808,0.0002971,0.0002971,0.0002971
73,3532.37,0.15207,0.12598,0.7798,0.84821,0.84421,0.89734,0.73406,0.7652,0.73122,1.23403,0.0002872,0.0002872,0.0002872
74,3580.63,0.14871,0.12441,0.77931,0.83928,0.87461,0.9091,0.74344,0.75728,0.67119,1.21533,0.0002773,0.0002773,0.0002773
75,3628.93,0.14749,0.1236,0.779,0.86394,0.84609,0.90582,0.74059,0.76125,0.67648,1.22797,0.0002674,0.0002674,0.0002674
